timestamp,trade_id,event,side,price,amount,pnl,fees,score,confidence,reason,type
2026-04-27T22:03:10.884277,1,EXIT,SELL,0.89,81.70815397,-0.53,0.0585,0.000000,0.000000,,TRAIL_SL
2026-04-27T22:03:29.349783,2,ENTRY,BUY,0.89,128.44313534,0.00,0.0000,0.560229,0.560229,Score:0.560 SMC:CHoCH Bull (MR:0.0 OB:1.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:0.5 SMC:1.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:NEU) SR5m:S@1/R@1,
2026-04-27T22:04:23.120709,2,EXIT,SELL,0.89,128.44313534,0.06,0.0917,0.000000,0.000000,,TRAIL_WIN
2026-04-27T22:04:34.371551,3,ENTRY,BUY,0.89,83.59578990,0.00,0.0000,0.483748,0.483748,Score:0.484 SMC:CHoCH Bull (MR:0.0 OB:0.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:1.0 SMC:1.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:NEU) SR5m:S@1/R@1,
2026-04-27T22:07:53.820813,1,ENTRY,SELL,0.10,398.71606923,0.00,0.0000,-0.515464,0.515464,Score:-0.515 SMC:Neutral (MR:-1.0 OB:0.0 VWAP:-1.0 BB:0.0 MACD:-1.0 PA:0.0 SMC:0.0 SR:-1.0 KDJ:0.0 ST:-1.0) MTF(5m:BULL 15m:BULL 1h:BEAR) SR5m:S@0/R@0,
2026-04-27T22:45:25.381768,1,EXIT,BUY,0.10,398.71606923,-0.16,0.0314,0.000000,0.000000,,REVERSAL
2026-04-27T22:45:26.921586,2,ENTRY,BUY,0.10,571.55734682,0.00,0.0000,0.502868,0.502868,Score:0.503 SMC:BOS Bull (MR:-1.0 OB:1.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:0.5 SMC:1.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:NEU) SR5m:S@0/R@0,
2026-04-27T23:20:43.361103,1,ENTRY,BUY,0.10,569.70652359,0.00,0.0000,0.502868,0.502868,Score:0.503 SMC:BOS Bull (MR:-1.0 OB:1.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:0.5 SMC:1.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:NEU) SR5m:S@0/R@0,
2026-04-27T23:22:33.595886,1,EXIT,SELL,0.10,569.70652359,0.10,0.0451,0.000000,0.000000,,TRAIL_WIN
2026-04-27T23:30:18.619887,2,ENTRY,BUY,0.10,568.95804610,0.00,0.0000,0.502868,0.502868,Score:0.503 SMC:BOS Bull (MR:-1.0 OB:1.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:0.5 SMC:1.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:NEU) SR5m:S@0/R@0,
2026-04-28T00:49:00.149719,2,EXIT,SELL,0.10,568.95804610,0.09,0.0451,0.000000,0.000000,,TRAIL_WIN
2026-04-28T01:16:59.693184,3,ENTRY,BUY,0.10,567.12399176,0.00,0.0000,0.502868,0.502868,Score:0.503 SMC:BOS Bull (MR:-1.0 OB:1.0 VWAP:-1.0 BB:0.0 MACD:1.0 PA:0.5 SMC:1.0 SR:0.0 KDJ:0.0 ST:1.0) MTF(5m:BULL 15m:BULL 1h:BULL) SR5m:S@0/R@0,
